,City,Country,Latitude,Longitude,Datetime,Max. temperature (F),Humidity (%),Cloud coverage (%),Wind speed (mph)
244,Pochutla,ML,22.68,-3.98,2020-02-12 03:42:52,63.81,66,0,10.83
245,Dingle,CA,70.47,-68.59,2020-02-12 03:42:52,-18.4,82,90,5.82
246,Belushya Guba,KZ,45.32,55.2,2020-02-12 03:42:52,22.64,50,0,8.34
247,Avarua,US,34.42,-119.7,2020-02-12 03:42:38,57.2,62,1,4.7
248,Salina,RU,50.3,87.73,2020-02-12 03:42:53,-8.34,89,0,3.58
249,Cervo,ID,-0.89,119.87,2020-02-12 03:42:53,85.41,46,100,2.77
250,Salinopolis,JP,35.13,140.3,2020-02-12 03:42:53,61.0,49,75,5.82
251,Shimoda,LY,30.33,10.85,2020-02-12 03:42:53,47.77,29,15,2.75
252,Banjar,RU,59.7,150.17,2020-02-12 03:42:53,1.53,58,1,2.51
253,Dong Hoi,MG,-22.4,46.12,2020-02-12 03:42:53,58.64,95,0,9.91
254,Jiddah,NL,51.97,5.67,2020-02-12 03:42:53,43.0,65,75,17.22
255,Tezu,ID,1.3,124.91,2020-02-12 03:42:54,77.0,94,40,3.36
256,Longlac,CV,16.18,-22.92,2020-02-12 03:42:54,68.0,82,40,12.75
257,Coruripe,CN,30.8,106.08,2020-02-12 03:42:54,57.81,56,0,3.85
258,Alyangula,YE,14.2,43.32,2020-02-12 03:42:54,72.1,81,100,6.6
259,Moss Vale,CA,45.46,-74.09,2020-02-12 03:42:54,28.99,85,90,3.36
260,Vysokogornyy,NA,-26.65,15.16,2020-02-12 03:42:54,64.4,93,100,11.41
261,Allapalli,CN,38.5,102.17,2020-02-12 03:42:54,43.59,10,0,3.47
262,Meulaboh,RU,47.25,47.03,2020-02-12 03:42:55,23.56,63,0,12.37
263,Barahona,RU,71.97,102.5,2020-02-12 03:42:55,-22.0,92,0,5.75
264,Alta Floresta,NC,-22.67,167.48,2020-02-12 03:42:55,80.29,84,100,25.46
265,Khonuu,RU,59.45,112.56,2020-02-12 03:42:55,-8.39,93,100,5.7
266,Turkistan,IT,45.17,10.78,2020-02-12 03:42:55,48.0,86,5,2.24
267,Freire,RU,51.68,102.14,2020-02-12 03:42:55,-1.71,95,97,3.56
